Date, URL, Newspaper, Title, Article
13 Aug^ 2020,https://economictimes.indiatimes.com/industry/services/retail/retail-chain-dmart-owner-avenue-supermarts-shelves-cash-and-carry-plan/articleshow/77515784.cms,Economic Times,Retail chain DMart owner^ Avenue Supermarts shelves cash-and-carry plan,Mumbai: Avenue Supermarts^ the operator of retail chain DMart^ has pushed back plans to enter the cash-and-carry business amid the disruption caused by the Covid-19 pandemic^ and said it will focus largely on brick-and-mortar retailing for the time being. The cash-and-carry business involves wholesale sales to small neighbourhood stores^ hotels and catering firms. In an analysts call last week^ Avenue Supermarts managing director Ignatius Navil
09 Jun^ 2020,https://economictimes.indiatimes.com/tech/ites/covid-creates-new-class-of-insiders/articleshow/76271991.cms,Economic Times,Covid creates new class of insiders,Before the Covid-19 outbreak ^ sensitive^ potentially stock-moving board meeting decisions were known only to attendees and a select few in a company. Now^ that tech support guy who the chairman won’t recognise may have an inside line on the board’s critical calls – thanks to all director meetings happening over video conferencing.Office IT departments have access to content of video meetings run on company infrastructure. And companies are waking up to this^ asking their IT employees to comply with insider trading prevention rules A leading paint company recently asked 35 employees from its IT team to disclose market investments made by them and their immediate family members.“Our compliance team indicated that IT department employees who have access to sensitive information need to be treated as designated persons under insider trading rules^” said an official of the company. “It’s not just price sensitive information^ during our internal meetings we also tend to discuss our vendors^ suppliers^ which themselves are listed companies.”Earlier^ in most companies^ only a few IT employees who took care of top company officials’ computers were in the designated persons list.A Maharashtra-based fast moving consumer goods company has sent a precautionary email to its IT team^ warning them not to discuss anything they have heard in board meetings with outsiders.“This is something new for both the management and the IT department employees. So^ we are trying to create an awareness in the department about dos and don’ts while possessing price sensitive information^” said a board member of the company.As per Securities and Exchange Board of India’s insider trading rules^ every company needs to maintain a database of its employees and third-party vendors who may be in possession of unpublished price sensitive information (UPSI).People included in the list are called designated persons and they are subject to several compliance requirements.To begin with^ they are not allowed to buy or sell the company’s stock while in possession of any insider information. Also^ they are required to make disclosures on their investments.Legal experts say insider trading rules apply not just to these employees but even to their immediate relatives and to anyone such an employee has significant financial dealings with. “Listed companies will have to revisit their definition of designated persons considering the fact that new set of people including employees from IT department may now have access to UPSI^” said Tomu Francis^ partner^ Khaitan & Co.
04 Aug^ 2020,https://economictimes.indiatimes.com/markets/stocks/earnings/dmarts-ecommerce-unit-doubles-sales-but-loss-widenes-too/articleshow/77335502.cms,Economic Times,DMart's ecommerce unit doubles sales but loss widenes too,"Mumbai: Avenue Supermarts^ which runs the DMart retail chain ^ saw its online sales more than double during FY20 to Rs 354 crore despite operating only in Mumbai. The country's most valuable retailer by market capitalisation^ however^ widened its net loss by 57% to Rs80 crore in the four-year old e-commerce subsidiary - Avenue E-Commerce.A year ago^ its online business - DMart Ready - posted sales of Rs 144 crore with net loss of Rs 51 crore^ according to the company's latest annual report. Unlike grocery delivery startups like Amazon^ Grofers and BigBasket^ which rely on delivery-based distribution model^ DMart's online venture essentially has multiple delivery centres or pick-up points in catchment areas^ where it has a store^ so that customers can order online and pick up products from there.D'Mart that operates over 214 stores said the current pandemic could significantly alter the new store roll out strategy for the industry that witnessed extended store closures^ lower footfalls and lean demand.""E-Commerce has always been a focus area in the industry. The COVID-19 situation has further amplified the growing importance of this channel. Online grocery is still a relatively under-penetrated segment within e-retail^ but has gained significant attention in the last few months as consumers have rapidly adopted online ordering of household grocery and other items^"" the company said in its annual report.Within the physical retail channel^ DMart has better operational metrics such as cost to sales or invested capital than Aldi and Lidl^ the German retailers that are often seen as benchmarks for discount retailing as they run some of the leanest retail operations globally. In fact^ DMart stores generated revenue per square foot of Rs32^879^ nearly three times compared to other grocery rivals in India.According to a recent Nielsen report^ e-Commerce that has been witnessing the fastest growth at 16% during the quarter ended June^ but faced challenges of supply chain and last mile delivery due to government regulations and movement restrictions in April that impacted last-mile deliveries badly. While online channels account for 3% of total fast moving consumer goods sales^ its contribution is over 9% in metros^ said Nielsen."
22 May^ 2020,https://economictimes.indiatimes.com/industry/cons-products/food/covid-19-consumers-avoid-purchase-of-non-vegetarian-food-items/articleshow/75894733.cms,Economic Times,Covid-19: Consumers avoid purchase of non vegetarian food items,"NEW DELHI: Consumers avoided purchase of non vegetarian food items like meat and fish during the Covid-19 outbreak as a precaution leading to a decline in sales^ according to market research firm Nielsen The sale of fresh vegetables ^ fruits and sea food also took a hit while that of eggs remained least affected.""Along with demand factors there were factors on supply side as well^ the top few being lesser footfall and low shelf life worries for fresh produce^"" said Sameer Shukla^ west market leader^ South Asia ^ Nielsen Global Connect.The fast moving consumer goods industry clocked a decline 34% in April in terms of value compared to the sales in the months of December^ January and February^ due to the Covid-19 led lockdown.While modern trade saw a value growth of 5%^ value growth in the traditional trade channel dropped by 38%.Average prices for key categories like soft drinks^ packaged ghee^ tea^ atta and oils witnessed an increase during the lockdown as discounts and promotions provided by retailers went down.Contribution of private labels went up by 5-6 percentage points across categories like atta^ noodles^ packaged rice^ salt and non-refined oil compared to pre covid period of December January February as retailers leveraged the void created by the supply chain issues.Around 60% consumers claim that Covid-19 has negatively impacted their household income and monthly household expenses have gone up by 3%."
30 May^ 2020,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kiranas-in-crisis-disruption-tough-to-reverse-fears-fmcg/articleshow/76098644.cms,Economic Times,Kiranas in crisis^ disruption tough to reverse^ fears FMCG,KOLKATA | MUMBAI: Leading consumer goods companies said over 600^000 kirana outlets may have closed during the lockdown^ hurt by a liquidity crunch or the return of owners to villages^ and fear that most of them may not reopen.The stress is also felt in the handset sector^ with the All India Mobile Retailers Association estimating that close to 60% of the 150^000 stores selling smartphones haven’t opened after the sale of non-essentials was allowed.Industry executives said small outlets are also feeling the pinch because distributors are dealing in cash and not offering 7-21 days of credit as before. The industry fears these closures may further delay the recovery of the market.Parle Products said almost 10% of the 5.8 million kirana stores that used to sell tea and paan^ operating from homes and roadside corners^ shut down in April and May. Parle category head B Krishna Rao said distributors have lost money from these outlets whose owners barely break even. “Most of these outlets may have shut down permanently. Even 1-2% of the bigger 42 lakh kiranas have shut down^ with owners having gone back to villages and this may remain so for the next 5-6 months. While some of these may reopen^ still the closure of small kiranas will affect the reach of companies^” said Rao.Britannia Industries managing director Varun Berry said a large part of store closures may be temporary and they may come back progressively as the lockdown eases^ although there might be some long-term reduction of kiranas.Sunil Kataria^ Godrej Consumer Products CEO-India & SAARC^ also expects store closures to be a temporary phenomenon^ even though the duration is uncertain.“Reopening of these shops would be dependent on factors like controlling the Covid-19 outbreak in cities^ which will provide a sense of safety and availability of labour to run these shops^” he said.India has about 10-12 million small retail outlets selling grocery and other fast-moving consumer goods but a large number of them are fragmented and located in the hinterland. In the smartphone market^ AIMRA president Arvinder Khurana said several store owners have been hit by liquidity issues^ extremely low supplies from brands in the sub-₹15^000 segment^ absence of consumer finance and very few footfalls. “Amid these challenges^ operational costs have more than doubled^ which can lead to permanent closure of several thousand stores.”As per Nielsen^ there was a 34% YoY drop in FMCG industry sales in April^ led by a 38% fall in sales in smaller stores^ even as modern trade recorded growth of 5%.Viren Shah^ president of Federation of Retail Traders Welfare Association ^ which represents over 3.5 lakh shops in Maharashtra^ said that while shopkeepers can’t use local transport^ most kirana shops are burdened with rent. “As a result^ they would rather shut shop than face issues including fixed costs^ delivery hassles and migration of staff^” Shah said.
01 Sep^ 2020,https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/post-covid-19-consumer-goods-to-shine-with-pe/vc-investors/articleshow/77866626.cms,Economic Times,Post Covid-19^ consumer goods to shine with PE/VC investors,"NEW DELHI: In the last few years^ several private equity (PE) and venture capital (VC) firms have invested in consumer packaged goods (CPG) companies. PE/VC investors have been riding a decade-long growth wave in transaction volumes^ valuations and fundraising^ however the current crisis has eroded some of the value of investments and dampened investor confidence.Consumer goods^ household and consumer products as well as FMCG companies should see favour amongst PE/VC investors as high returns often emerge in times like these and can offset the losses during the downturn. There is also a massive amount of dry powder readily available at the investors’ disposal and CPG companies stand to benefit as Covid-19 has materially changed the outlook towards consumer goods essentials as a sector.According to VCCEdge ^ a notable deal activity in the FMCG sector was seen as Avenue Supermarts Ltd. (D-Mart) raised $4.86 million in February 2020 and Ador Multiproducts Ltd. raised $0.29 million in July 2020. The sector also saw another big ticket deal happening as Hindustan Unilever Ltd. acquired the Horlicks Brand for India for $415.3 million in April 2020. For the household and consumer products sector^ the average deal value recorded in 2020 was $5.07 million as compared to $7.15 million in 2019^ a drop of 29%. Honasa Consumer Pvt. Ltd. (Mamaearth) raised $18.22 million thus accounting for another notable deal in the sector in 2020.Ruby Dobriyal^ Manager - Research^ VCCEdge^ said in a statement^ “There has been deferment in the deals activity in 2020 as investors are waiting to see the extent of the damage that has been caused due to the pandemic^ however there has been a lot of change in the preference amongst consumers. For the household and consumer products there has been an average of 2.3X increase of income among the online delivery platforms such as Milkbasket^ Big Basket^ Swiggy and Zomato."""" Companies such as Milkbasket rode on the sentiments of consumers and innovated their supply chain and business models where they were allowing people to place orders up to 10 PM with guaranteed delivery the next morning between 7-8 AM. This allowed for an increase in the total income for the platform by 2.8X. These numbers may certainly impress PE/VC investors looking at the sector as going forward customers are likely to prefer the online model over traditional models for convenience^ social distancing & health above all else^” she added.The funding activity is expected to be hit and not recover in comparison to the earlier years for the latter part of 2020 due to unprecedented impact on economic activity caused by lockdowns and social distancing. VCCEdge reported a drop of 50% in terms of volume (2 deals in Q3 2020 as compared to 4 deals in Q3 2019) and 82% in terms of value ($5.15 Mn in Q3 2020 as compared to $28 Mn in Q3 2019) in the consumer goods sector. This drop is on account of the pandemic but once the market starts recovering it might unearth golden opportunities in the future for sectors such as consumer goods due to changing consumer preferences.Shalil Gupta^ Chief Business Officer^ Mosaic Digital^ said in a statement^ “The crisis caused by COVID-19 has changed the composition of consumption basket for consumers. There is an increased focus on food and essential products with the demands increasing two to three fold in the last four to five months. The pandemic has also forced consumers who were apprehensive earlier to shop online hence making online shopping a new normal.”"
24 Jul^ 2020,https://economictimes.indiatimes.com/industry/services/retail/flipkart-wholesale-to-pick-up-walmarts-best-price/articleshow/77137328.cms,Economic Times,To fight Amazon and Reliance JioMart^ Flipkart wholesale will pick up Walmart’s best price,Bengaluru: Flipkart said its wholesale unit will acquire parent Walmart ’s loss-ridden cash-and-carry business in India^ Best Price. This marks consolidation of the US major’s entire retail portfolio in the country.The deal announced on Thursday clears the decks for Flipkart to expand its business-to-business vertical and take the fight to Amazon and Reliance JioMart in wooing legions of small retailers.Bengaluru-headquartered Flipkart — acquired by Walmart for $16 billion in 2018 — will launch its wholesale unit next month^ with categories such as fashion and grocery. This will pit it against a slew of rivals^ from JioMart and Amazon B2B to business commerce enabler Udaan and German retail giant Metro Cash & Carry.“With the launch of Flipkart Wholesale ^ we will now extend our capabilities across technology^ logistics and finance to small businesses. The acquisition of Walmart India will strengthen our position to address the needs of kiranas and MSMEs uniquely^” said Kalyan Krishnamurthy^ chief executive^ Flipkart group.The company declined to share financial details of the deal^ only saying that Walmart India employees will move to Flipkart group.ET reported in its January 13 edition that Walmart had let go of nearly 100 senior executives — including vice-presidents — across sourcing^ agri-business and the fast-moving consumer goods divisions. The report said the downsizing was a precursor to a sale or consolidation of the unit with Flipkart.Analysts are of the view that consolidating retail units will boost Flipkart’s ambitions in grocery retailing. “This is in line with Flipkart’s plan to be aggressive in grocery^ and use customers and assets created by Walmart to prepare for the battle with Jio and Amazon^” said Satish Meena of Forrester Research.Walmart India chief executive Sameer Aggarwal told ET the combination “allows us to grow much faster and become bigger.” The Best Price operation will continue to run as it is^ he said^ while clarifying that “in terms of legal structure^ Walmart India is currently a separate entity within the Flipkart group.”Walmart has long been scouting for a viable and competitive business model for the Best Price brand^ which consists of 28 stores and ecommerce operations.Accumulated losses for Walmart India stood at ₹2^181 crore until March 2019. In fiscal 2019^ the company reported revenue of ₹4^095 crore on a loss of ₹172 crore. In contrast^ Metro AG posted 10% growth in net sales^ to ₹6^755 crore^ during the year ended September 2019^ according to its global annual report^ which also said the Indian unit has been profitable for the past two years.Aggarwal will remain with the company during the transition and will then move to a different role within Walmart. Adarsh Menon^ senior vice president at Flipkart^ who leads the B2B initiative said Flipkart Wholesale “will draw on the merchandising experience of Walmart India^ strong relationship with brands^ and the 12-plus years of operating Best Price.”With Covid-19 accelerating the willingness of small businesses to adopt technology for expansion^ a new market has opened up for ecommerce players. According to a report by Redseer Consulting^ three of four mom-and-pop stores have no exposure to technology platforms for any service^ including payments or procurement. Forrester’s Meena said^ “Given the structure of our market^ small merchants and kirana shops remain the top priority for (ecommerce) players.”For full report go to www.economictimes.com
15 Sep^ 2020,https://economictimes.indiatimes.com/industry/cons-products/fmcg/fmcg-recoverys-fast-but-not-fast-enough/articleshow/78113872.cms,Economic Times,FMCG recovery is fast^ but not fast enough to restore pre-Covid level sales,FMCG recovery is fast^ but not fast enough to restore pre-Covid level salesDuring the lockdown^ ready to eat and packaged products saw a surge in sales after consumers hunkered down in their homes due to coronavirus-related restrictions.SynopsisThe country's fast moving consumer sector^ especially food segment^ has been largely insulated from the Covid-induced impact on consumer demand. Yet^ sales were impacted due to supply chain restrictions for the initial few weeks followed by mini-lockdowns in certain states^ industry insiders said.
04 May^ 2020,https://economictimes.indiatimes.com/industry/services/retail/top-multinationals-from-hul-to-apple-brace-for-rising-online-sales-post-covid-19/articleshow/75537995.cms,Economic Times,Top multinationals from HUL to Apple brace for rising online sales post Covid-19,"Kolkata/Mumbai: Global consumer goods biggies such as Unilever^ Apple^ Samsung^ LG^ Xiaomi and Vivo expect ecommerce contribution to their overall sales to increase significantly after the Covid-19 pandemic^ and they have started tweaking their India businesses for this^ industry executives said.Apple is preparing to launch company-owned online store in the country around August-September^ a month earlier than its original schedule^ while top white goods maker LG said it will roll out its own e-store in India this year^ they said.LG^ Samsung^ Vivo and Xiaomi are also rolling out hyperlocal sales platforms that will connect their offline stores to consumers searching products online so that the outlet nearest to the consumer can deliver the order^ industry executives said.Xiaomi is connecting 3^000 stores for the trials^ while Vivo will be enabling 20^000 retailers for such sales.India’s largest fast moving consumer goods firm Hindustan Unilever chairman Sanjiv Mehta said consumers would be more averse to stepping out after the pandemic and would like to place the order from home and receive it at home. “So this should definitely give a fillip to ecommerce^ and we would be ready for that^” he said.Online contribution to India's FMCG sales rose nearly 50% year on year during the March quarter as consumers increasingly shopped from e-grocers instead of local kiranas.Online contributed just 1% of groceries sale in the country until mid 2017^ which nearly doubled to 1.9% by 2019. According to a Nielsen report^ this has now increased even as local grocer's share fell 220 basis points^ entirely taken by ecommerce and modern retailers.India’s largest smartphone maker^ Xiaomi India MD Manu Kumar Jain said share of ecommerce to smartphone sales in India at around 40% is one of the highest globally. “It may go up further now^ but in the long-term there will be equilibrium with offline^” he said.Smartphone trackers like IDC too expect that share of ecommerce for smartphones may gain by 5% this year in India. “Initial demand for 1-2 months will come up from ecommerce. But brands cannot ignore offline for long in India and they may undertake more hyperlocal initiatives^” IDC India research director Navkendar Singh said.Realme India CEO Madhav Sheth said ecommerce^ due to its contactless nature^ will become a practice for all handset brands and push all brands to convert to a more online-oriented business. ""We expect offline to pick up eventually^ especially in smaller towns^ where penetration of ecommerce is low^” he said.Apple^ LG and Samsung indicated in their earnings call last week that ecommerce will gain traction now and two industry executives said there is clear cut directives from headquarters of these brands to speed up India initiatives. LG Electronics India head for online business^ Deepak Taneja said going forward consumers in tier two and three towns will also start buying from ecommerce.Apple CEO Tim Cook had last week said there is definitely a move to ecommerce. “Whether that's a permanent shift^ I would hesitate to go that far because I think people like to be out and about. They just know that now is not the time to do that^” he had said on an earnings call. The iPhone maker has asked its 500-odd franchisee-owned exclusive stores in India to push sales through online.Apple and Samsung did not respond to emails ET had sent as of press time Monday."
29 Apr^ 2020,https://economictimes.indiatimes.com/industry/cons-products/fmcg/fmcg-cos-take-direct-route-to-customer-homes/articleshow/75436876.cms,Economic Times,FMCG companies take direct route to customer homes,Bengaluru | Mumbai: More than a dozen consumer goods companies including Hindustan Unilever ^ ITC^ Mondelez^ Procter & Gamble^ Dabur and Colgate have started selling products directly to consumers. That’s circumventing traditional trade and distributor networks in areas where last-mile delivery has been disrupted due to Covid-19 restrictions.Their latest direct-to-home initiatives involve partnering startups such as Dunzo^ Scootsy and Swiggy by listing brand stores on their portals and even reaching out to resident welfare associations (RWAs) through their sales staff.While retailers have been doing this for more than a month to implement physical-distancing norms after pantry loading led to increased footfalls^ it is a first for fast-moving consumer goods (FMCG) companies.“These partnerships are a vindication of the power of collaboration as no brand alone has answers to fulfil the needs of the nation during these unprecedented times^” said B Sumant^ executive director at ITC Ltd^ which is also selling products through its own portal.As companies grapple with a shortage of staff with migrant workers having left for their homes^ the supply chain has been thrown into disarray across the ecosystem — from sourcing raw materials to manufacturing and delivery of finished products.“We are deploying new strategies and finding innovative solutions to ensure uninterrupted supply of essential products to our consumers^” said Mohit Malhotra^ CEO^ Dabur^ which has tied up with online delivery service providers for retail outlets and households.“Our sales officials are reaching out to RWAs across the country and ensuring availability of our range of immunity boosters^” Malhotra said.FMCG companies have set up storefronts on hyperlocal delivery platforms and are servicing orders from exclusive brand stores and directly from distribution centres^ using delivery partners to get items to the doorstep.Food ordering firm Swiggy has expanded its store network to more than 200 cities^ allowing consumers to order groceries from neighbourhood shops.“Through these partnerships^ we are extending our hyperlocal delivery offering to unlock a new dimension of convenience for our consumers as well as earnings for our delivery partners^” said a Swiggy spokesperson. “Considering the present situation^ our primary focus has been to address customer needs and pain points and their biggest ask has been to enable easy access to groceries and essentials.”Companies aren’t sure whether such initiatives will become established as a regular part of their supply chain^ which has traditionally depended on distributors and retailers while they focus on manufacturing and promoting brands.“We will continue to evaluate and expand such opportunities with our partners to serve our consumers during this difficult time^” said a P&G spokesperson. “In addition^ we continue to make interventions to strengthen our end to end supply chain to serve consumers with our products across different channels.”Hyperlocal partners offer consumer goods makers easier access to customers amid the lockdown.“Dunzo ensures demand density for these brands^ and as long as we are able to maintain that^ brands should continue to leverage the on-demand experience of Dunzo^” said Kartik Mishra^ head of strategy and new initiatives at the startup. “Direct to consumer (D2C) just becomes an additional distribution channel for brands in addition to traditional retail and ecommerce that they already have.”Experts feel single-brand stores on hyperlocal platforms will see low traction as consumers will prefer to get everything they need rather than stick to one label. “While we have cut out retailers from the equation now^ we will have to wait and watch if these partnerships continue post the pandemic^” said an executive at a hyperlocal startup. “If demand drops post the lifting of the lockdown^ neither us nor the brands might want to continue these partnerships.”
