Date, URL, Newspaper, Title, Article
2020-08-24,https://www.livemint.com//market/mark-to-market/novel-coronavirus-tests-mettle-of-consumer-goods-companies-during-april-june-quarter-11598235972033.html,LiveMint,Q1 results reveal how covid-proof FMCG companies are,The coronavirus pandemic struck at a time when India’s fast-moving consumer goods (FMCG) firms were already grappling with a slowdown in consumer demand.The pandemic has added complexity to their operations^ with these companies strongly relying on how covid-proof their product portfolios and supply chains were.While it was an uphill journey for most FMCG firms^ some such as Britannia Industries Ltd and Tata Consumer Products Ltd have gained because of an increase in the consumption of food at home. Some dished out new product lines by the dozen to tap into new opportunities such as sanitizers^ although the verdict on this strategy is still out.Industry leader Hindustan Unilever Ltd (HUL) said around 80% of its portfolio^ comprising health^ hygiene and nutrition products^ expanded 6% in the June quarter. But the remaining 20% of its portfolio^ including skincare^ colour cosmetics^ ice cream and food solutions products fared miserably. Overall^ HUL’s domestic consumer growth declined by 7%^ after adjusting for the impact of the GlaxoSmithKline Consumer Healthcare Ltd merger.View Full Image Gainers and losers“For HUL^ the gains from a shift from the unorganized category are limited compared to some other firms^ say^ Britannia Industries^ which benefitted from the shutdown of local bakeries during the lockdown. Simply put^ HUL’s portfolio isn’t as ‘covid-friendly^’ owing to the discretionary nature of some of its products. Moreover^ given its large size^ the contribution from new launches during the June quarter was much smaller vis-à-vis other companies^" said Varun Lohchab^ head of institutional research at HDFC Securities.Britannia capitalized on the rising in-home consumption effectively^ extracting a neat 26.7% year-on-year growth in consolidated revenue. Similarly^ Tata Consumer Products saw a 13% revenue growth^ helped by increased in-home consumption. ITC’s food segment also performed well. However^ Nestle India Ltd’s domestic revenue growth for the June quarter slowed to 2.6%^ compared to 10% each in the previous three quarters.Commenting on Nestle’s relative underperformance in the food category^ analysts at Kotak Institutional Equities said^ “We note that other FMCG companies smartly leveraged third party distribution (including startups)^ rationalized SKUs (tock-keeping units) to drive cost savings^ and cut down on trade incentives/promotions (aided gross margins)."The broking firm said Nestle was also affected by its higher urban salience. Nestle said it was hurt by production disruptions across factories and sharply lower demand in the out-of-home channel.Colgate Palmolive (India) Ltd’s revenue drop was contained at 4% as the oral care category remained unaffected by covid. Marico Ltd’s revenues fell 11% as India business was weaker. Godrej Consumer Products Ltd’s (GCPL) consolidated revenue was flattish as India and Indonesia fared well but Africa lagged. Its domestic household insecticides segment outshined but soaps and hair colours were subdued. Dabur India Ltd’s healthcare portfolio did well even as foods suffered due to lower demand for cold beverages.Companies have indicated that rural markets have performed better. “Given the lower spread of the virus and tailwinds from good monsoon/ government spending^ rural and smaller towns led recovery^ even as large cities lagged^" said analysts at Jefferies India Pvt. Ltd in a report on 10 August.Firms launched new products suited to the pandemic across food^ hygiene and health categories. Dabur had more than 50 launches in the past few months. New product contribution improved to 6% of Dabur’s June quarter revenues. GCPL had about 45 launches.True^ launches help tap into new opportunities^ but investors would probably be better off keeping expectations low. “These are (likely) primary sales (firm selling to distributors) and consumer acceptance is still untested somewhat^" wrote ICICI Securities Ltd’s analysts in a report on 6 August. “We have a concern on the bunching up and timing of these launches as retailers are not ready to stock new products (per market checks) and consumer is hesitant to try new products along with fewer opportunities for consumers to browse and buy."Meanwhile^ investors have taken things too far in rewarding the covid winners. Shares of Tata Consumer touched a new 52-week high on NSE on Friday. The Britannia stock is about 20% higher than its pre-covid highs in February. Overall^ the Nifty FMCG index has gained 4.9% so far in 2020^ compared to a 6.5% drop in the Nifty 50 index.The high valuations of most consumer firms may well find support in these uncertain times even if the road ahead is rocky^ an analyst said seeking anonymity.“Overall^ for the FMCG sector^ sporadic lockdowns in some areas in July may have hit the recovery rate in the current (September) quarter. Consumers are still cautious about spending on non-necessities and demand for out-of-home will remain under pressure in FY21^" added Lohchab.Although it is encouraging that some discretionary demand appears to be recovering. “Firms pointed to a sequential recovery in skincare^ haircare^ etc.^ toward the latter part of June quarter^" said Jefferies’ analysts.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share Via
2020-08-11,https://www.livemint.com//news/india/covid-survey-90-of-consumers-making-lasting-changes-to-how-they-live-work-11597146722679.html,LiveMint,Covid survey: 90% of consumers making lasting changes to how they live^ work,NEW DELHI: Covid-19 has led to changes in consumer behaviour and for some in India^ these change such as turning more cost conscious^ making healthier and environmentally sustainable choices^ visiting local stores^ shopping online are likely to stick around even after the threat of the pandemic is gone^ according to findings of Accenture’s COVID-19 Consumer Pulse research.This change in turn will have an impact on the consumer goods and retail industries.The research surveyed 2^500 consumers in India between March and June^ and those surveyed were part of the 45^000 consumers surveyed globally by the firm.A majority of those surveyed in India are making permanent changes to the way they consume^ work^ and live^ the report said. As a result^ "there is is no going back to the pre-pandemic world for consumer brands.""Consumers are now focused on their most basic needs while cutting back on non-essentials. They are more mindful of what they’re buying^ striving to limit food waste^ shopping more cost consciously and are making healthier and environmentally sustainable choices^" according to findings of the survey released on Monday.Indian shoppers took to panic buying and shopping for packaged food and health and hygiene products as an outcome of the pandemic.With concerns around personal hygiene exacerbated^ nearly 50% of those surveyed said they are increasing their purchases of personal hygiene products. "Personal hygiene habits have changed dramatically^ with people hand-washing more often and cleaning surfaces at home more frequently^" according to the survey results.The pandemic has also piqued consumer interest in local^ neighborhood stores while helping with swift adoption of online shopping."Consumers also remain hesitant to step out of their safety zones to resume previous consumption patterns^ are buying local^ and embracing digital commerce. The survey found that the pandemic is causing more people to shop for groceries online^" the report said.Some of these changes are set to find a permanent spot in consumer habits especially as several Indians have taken to shopping online thanks to the covid-19 induced lockdowns.“The demand for local products^ digital commerce and omni-channel services such a home delivery^ chat features^ and virtual consultations is surging^ and is likely to endure beyond this crisis^" the report said. Interestingly^ 74% of Indian consumers are buying locally sourced products. Nearly 80% of those surveyed want to shop at neighborhood stores.In fact^ 75% of consumers said that they're being more cost-conscious when shopping for products.The pandemic has also shifted consumer loyalty^ with consumers now veering more towards brands that are sustainable and healthier for them. Trust is a key factor too."The pandemic has taken a toll on brand loyalty and as consumers make more socially and environmentally sustainable and healthy choices^ consumer goods companies must tailor their offerings accordingly and refresh their brand promise to meet these new requirements^" said Anurag Gupta^ managing director and lead^ strategy and consulting^ Accenture in India.With the house now becoming the nerve centre—with more people working and studying from home—consumers also took to learning new things^ DIY activities^ cooking and spent more time on entertainment^ leading to a surge in content viewership across platforms.Moreover^ media consumption has increased^ 70% are watching more video streaming content and social media usage has gone up by 75%. “Staying in is the new going out. 34% people plan to increase the amount they work from home in the future….Consumers are finding new ways to fill the extra time that many now have at home. Socializing at home is the preferred option in the next 6 months and 71% consumers are connecting virtually with friends^" the Accenture report said.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share ViaClick here to read the Mint ePaperLivemint.com is now on Telegram. Join Livemint channel in your Telegram and stay updated
2020-08-07,https://www.livemint.com//companies/news/packaged-products-demand-can-touch-pre-covid-levels-if-cases-ease-jyothy-labs-11596795903361.html,LiveMint,Packaged products' demand can touch pre-covid levels if cases ease: Jyothy Labs,NEW DELHI: Jyothy Labs Limited^ that sells Margo soaps and Ujala fabric whitener^ said demand for household mosquito repellants^ and utensil cleaning products helped the company report a 2.3% jump in net sales in the June quarter^ despite the disruptions caused by the protracted lockdown in the country in the wake of the pandemic.The company expects demand for packaged consumer goods to return to pre-covid levels if localised lockdowns abate^ according to a top executive at the company.“Dishwashing brands did extremely well; while post-wash fabric care declined during the quarter as more people worked from home^" Ullas Kamath^ joint managing director^ Jyothy Labs Limited^ told Mint.Its brand of mosquito repellents grew over 150% during the quarter. “And in dish wash (segment)^ we grew about 17% and that is good enough for us to offset the decline in post wash fabric whitener^" said Kamath.He added that while sales of post wash fabric cleaners took a beating as more people worked from home^ demand for the product has picked up starting July. For the quarter ended 30 June^ fabric care sales declined 23.8% especially as demand for its Ujala fabric whitener and Crisp and Shine cleaning products fell.Kamath said while it was hard to predict demand going forward^ if the country resists a second wave of infections and localised lockdowns^ then demand for packaged consumer goods could touch pre-covid levels.He warned that discretionary^ non-essential spends could take a beating while consumers spend more on health and hygiene products.In the fiscal first quarter^ the company’s consolidated sales were down 2.4% at ₹433 crores^ while net profit rose 33.8% to ₹50 crore.Kamath said consumption of health and hygiene products remains intact especially as more people spend longer hours at home.“The consumption has not come down^ if you look across categories^ consumption was more because people were sitting at home during the lockdown period^ eating and washing more utensils. And again^ we have seen house helps were not around and husbands were washing the utensils—the insight is very clear that men have used more dishwash product because they don't know how to use Pril or Exo^ so they have used half more to clean dishes. So consumption has gone up for dishwasher—the category has grown^" he said.Earlier this year^ the company launched hand sanitizers and face wash under the Margo brand.It also started operations at its plant in Pithampur^ Madhya Pradesh^ in July to boost output of its dishwashing brands Pril and Exo.Kamath said the plant will help service markets up north and expand production by nearly 40%.India’s fast moving consumer goods makers saw an unprecedented quarter - one that helped drive demand for cookies^ floor cleaners and packaged tea but also saw shoppers shun personal care and beauty products as they stayed put at home. In all^ market researcher Nielsen expects India’s FMCG market to post flattish growth in the current calendar year.Nielsen maintained that April and May dragged growth rates for the sector^ with June seeing some signs of recovery. It expects the sector to post growth rates registered in the month of June going forward.Kamath said that for Jyothy Labs^ traditional trade channels were back to recording growth after seeing restricted operations at the beginning of the lockdown^ but modern trade channels were slowing down.E-commerce sales^ on the other hand^ doubled during the quarter^ albeit on a lower base of 2-3%.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share Via
2020-08-06,https://www.livemint.com//companies/news/fmcg-cos-put-covid-learnings-to-practice-11596677543413.html,LiveMint,FMCG cos put covid learnings to practice,NEW DELHI : India’s top packaged consumer goods makers are imbibing lessons learnt from the covid pandemic to try and make their businesses more efficient. Executives at top FMCG companies said the disruption caused by the pandemic has prompted them to look at redundancies in operations and reduce the time taken to roll out new products and reach markets.FMCG firms in India rely on extensive market research and a massive network of distributors and small shops to ensure products reach shoppers^ but the lockdown upended their links to the markets.However^ with a surge in demand for packaged foods and personal hygiene products^ companies have set up teams^ created links with hyperlocal delivery partners^ and helped get their products to stores.While not all associations and learnings will stick^ especially as markets gradually open up and stocks start to move^ several firms will look at imbibing some of these changes in the way they function.Chennai-based CavinKare^ which launched new products such as sanitizers and a vegetable cleaner in record time^ said it could look at cutting timelines for new product launches and even narrow lengthy test marketing processes going forward. The maker of Chik shampoo typically takes 18 months to launch a new product.“Even before covid^ one of the endeavours of the company was to cut this time frame. We had actually initiated internal action to be able to look at whether we are able to cut the period to a substantially lower time. To the extent that some of the categories we’ve been able to do in a month^ that’s also probably to do with the formulation of the products. But now we are looking at the time frame where we can quickly crunch the 18-to-24 month period down to much shorter periods^" said Venkatesh Vijayaraghavan^ director and chief executive officer-personal care and alliance at CavinKare. He said the firm allowed cross-functional teams to work together^ thereby reducing duplication.“One of the things that this particular experience of covid has done is bring the entire cross-functional teams^ i.e. marketing^ production^ packaging^ supply chains and R&D together^ so we’re able to crunch timelines^ eliminate some of the duplications that happened^" he said.Covid also prompted firms to ramp up supplies online and forge tie-ups with hyperlocal delivery partners and even assist retailers by opening up helplines as the lockdown crippled the movement of goods.More such direct-to-consumer^ online-to-offline and vice versa^ and hybrid models are likely to come into play^ Russell Reynolds Associates^ an advisory firm^ said in a research note this week.Moreover^ there has also been a quick adoption of e-commerce channels to buy groceries. Typically^ 87% of FMCG sales in India come from traditional or kirana stores. But covid is likely to change that.Beverage maker Coca-Cola India said adoption of digital tools—both remote working as well as scaling up presence on e-commerce^ at a time when out-of-home consumption of beverages remains disrupted —has been accelerated.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share Via
2020-08-05,https://www.livemint.com//companies/news/covid-prompts-fmcg-firms-to-look-at-efficient-processes-11596630227492.html,LiveMint,Covid prompts FMCG firms to look at efficient processes,NEW DELHI: India's top packaged consumer goods makers are imbibing lessons learnt from covid to make their businesses more efficient. Executives at top fast moving consumer goods (FMCG) companies told Mint that the disruption caused by the pandemic has prompted companies to look at redundancies in operations and eliminate time taken to roll out new products and reach markets.FMCG companies in India rely on extensive market research and scores of distributors and small shops to ensure their products reach shoppers^ but the lockdown upended their links to the markets. However^ following the surge in demand for packaged foods and personal hygiene products^ companies banded together teams^ created links with hyperlocal delivery partners^ and helped get their products to stores to help fulfill consumer demand.While not all associations and learnings will stick^ especially as markets gradually open up and stocks start moving^ several firms will look at imbibing some of these changes in the way they function.Chennai-based CavinKare^ which launched new products such as sanitisers and a vegetable cleaner in record time^ said it could look at cutting timelines for new product launches and even narrow lengthy test marketing processes going forward. The maker of Chik shampoo typically takes 18 months to launch a new product.“Even before COVID^ one of the endeavors of the company was to cut this timeframe. We had actually initiated internal action to be able to look at whether we are able to cut the period to a substantially lower time. To the extent that some of the categories we've been able to do in a month—that’s also probably to do with the formulation of the products. But now we are looking at the time frame where we can quickly crunch the erstwhile 18 to 24 month period down to much shorter periods^" said Venkatesh Vijayaraghavan^ Director & CEO^ Personal Care & Alliance^ CavinKareHe added that the company allowed cross functional teams to work together^ thereby reducing duplication of work.“One of the things that this particular experience of covid has done is bring the entire cross functional teams i.e. marketing^ production^ packaging^ supply chains and R&D together^ so we're able to actually crunch the timelines^ eliminate some of the duplications that happened^" he said.The pandemic also prompted several companies to ramp up supplies online and forge partnerships with hyperlocal delivery partners and even assist retailers by opening up helplines as the lockdown crippled movement of goods.More such direct to consumer^ online to offline and vice versa^ and multiple hybrid models are likely to come into play^ Russell Reynolds Associates^ an advisory firm^ said in a research note this week.Moreover there has also been a quick adoption of e-commerce channels to buy groceries. Typically^ 88% of FMCG sales in India come from traditional or kirana stores. But covid is likely to change that.Beverage maker Coca-Cola India said adoption of digital tools—both remote working as well as scaling up presence on e-commerce^ at a time when out-of-home consumption of beverages remains disrupted^ has been accelerated."We have quickly scaled our ability to really operate on the click-to-desire continuum^ where we are really trying to scale up our presence on e-commerce. We are possibly one of the companies which is benchmarked for execution in the brick and mortar world and we are trying to see how we can replicate it in the digital world—that is one area where we are building capabilities and we continue to build them^" T. Krishnakumar^ President^ Coca-Cola India and South West Asia said.A "black swan" even such as covid has been a huge eye opener for Mondelez India^ the maker of Oreo cookies and Dairy Milk chocolates. The company launched a new product in June^ moving processes such as product qualifications^ packaging and in-plant trails to virtual modes.“What we thought would never be done without a face-to-face interaction now is getting done remotely^" Deepak Iyer^ managing director^ Mondelez India told Mint. Mondelez that also has a centre of excellence on agility globally—where it works using the Scrum method^ that is basically a framework devised to complete complex projects said it used learnings from the centre to tide through the covid crisis.“India is one of the first pilot markets where we used this the centre of excellence. So it's been a huge part of our success and this is not something that we did during Covid. That was something that we started last year. But it's come in very handy during covid. And hence it gives us more reasons to accelerate that kind of culture in the organization^" said Iyer.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share ViaClick here to read the Mint ePaperLivemint.com is now on Telegram. Join Livemint channel in your Telegram and stay updated
2020-07-30,https://www.livemint.com//news/india/fmcg-to-register-flat-growth-in-2020-nielsen-11596092811051.html,LiveMint,FMCG to register flat growth in 2020: Nielsen,New Delhi: India’s fast moving consumer goods sector may at best remain flat in 2020 as covid-induced lockdown in the second quarter of the year battered demand and severely hit trade channels^ market researcher Nielsen told reporters on Thursday.Nielsen expects the fourth quarter of the year to deliver better growth driven by festival season demand and depending on how India moves to tackle the surge in cases and effectively lifts further restrictions in the market.This is Nielsen’s second revision of its annual growth forecast for the sector that has seen a surge in demand for categories such as as packaged wheat^ biscuits^ and soaps as India stayed at home and spent more on essentials.Earlier this year^ the researcher predicted a 9-10% growth for the sector that was already struggling to grow sales in rural markets.In April^ it further revised its forecast for the year slashing it to 5-6% factoring in the economic fallout from the pandemic.However^ the researcher has further downgraded the growth forecast for the full year.Nielsen maintained that April and May dragged growth rates for the sector^ with June seeing some signs of recovery. June registered 4.5% year-on-year value growth^ while April and May fell 27%.Interestingly in the second quarter^ growth in rural and small towns outpaced that in metros.In June^ rural markets^ that account for 36% of FMCG sales in India^ grew three times of all India FMCG growth^ researchers at Nielsen said.“We are expecting some growth in Q3^ but we are expecting more growth in Q4 than Q3^ as festive time will be more in swing in Q4. I wouldn't be surprised if Q3 delivered similar growth to the June growth^" Prasun Basu^ South Asia Zone president^ Nielsen Global Connect^ said.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share ViaClick here to read the Mint ePaperLivemint.com is now on Telegram. Join Livemint channel in your Telegram and stay updated
2020-07-29,https://www.livemint.com//market/mark-to-market/britannia-cashed-in-on-packaged-food-demand-in-june-qtr-but-nestle-fell-behind-11595999468485.html,LiveMint,Unlike Britannia^ Nestle fails to cash in on the demand for packaged food,Opportunity knocks but once. And^ the covid-induced opportunity was the spike in demand for packaged food. In that sense^ Nestle India Ltd has missed the boat^ but peer Britannia Industries Ltd was able to capitalize on it. Nestle’s June-quarter year-on-year revenue growth of about 2% fell short of analysts’ estimates. In contrast^Britannia’s 26.4% revenue growth was slightly better than the Street’s optimistic estimates^ following the company’s indications prior to the results that the quarter was shaping up well.Nestle maintains that its sales were adversely impacted due to the lockdown^ leading to production disruption across factories. Further^ demand in the “out-of-home" channel saw a considerable decline. Nestle derived 4.4% of its operating revenues from exports^ which fell by 9%. Domestic sales contributed 95.6% of revenues and increased by 2.6% over the same period last year.View Full Image Not delicious enoughNote^ the food and beverage segments of Hindustan Unilever Ltd and ITC Ltd^ too^ performed relatively better in the June quarter. Nestle’s performance in the March quarter had raised hopes as well. Analysts from Kotak Institutional Equities said: “Given this (strong March quarter) and^ in view of Nestle’s portfolio and execution strength^ we hadn’t expected any supply-chain issues; to that extent^ supply chain issues in Maggi surprised."Kotak analysts wrote in a report on 28 July: “We note that other FMCG companies smartly leveraged third-party distribution (including startups)^ rationalized SKUs to drive cost savings and cut down on trade incentives or promotions (aided gross margins). Nestle’s higher urban salience hurt as well." Meanwhile^ Nestle’s e-commerce channel increased by 122% in the June quarter^ and now contributes 3.6% to domestic sales. Jefferies India Pvt. Ltd said: “Earnings before interest^ tax depreciation and amortization (Ebitda) margin expanded 80 basis points year-on-year to 24.9%." One basis point is one-hundredth of a percentage point. “Margins however came to the rescue and allowed Nestle to meet our forecast^" it added.A sharp decline in other expenses boosted Ebitda. This looks good considering gross margin declined by 180 bps owing to inflation in dairy inputs.Even so^ the subdued revenue growth was more disappointing. After its results^ on Wednesday^ the Nestle stock fell 3%. The company has restored its eight factories almost to their pre-covid manufacturing capabilities. With growth momentum back^ it would be interesting to watch the extent to which Nestle can offset the demand loss it had incurred in the first half of 2020. Nestle’s financial year ends in December and the June quarter is its second.While the firm is well-placed to ride the packaged food consumption theme^ the stock’s expensive valuations leave little room for an upside. Nestle’s shares trade at a valuation multiple of nearly 77 times trailing 12 months earnings and that’s hardly cheap.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share ViaClick here to read the Mint ePaperLivemint.com is now on Telegram. Join Livemint channel in your Telegram and stay updated
2020-07-28,https://www.livemint.com//companies/news/covid-helps-reckitt-benckiser-s-dettol-soaps-win-market-share-in-india-11595944594739.html,LiveMint,Covid helps Reckitt Benckiser's Dettol soaps win market share in India,Packaged consumer goods company Reckitt Benckiser’s (RB) Dettol soap bar became the country’s number one selling soap brand by value share^ claimed the company^ riding on the increased demand for personal hygiene products in the countryThe maker of Dettol disinfectants^ Harpic toilet cleaners and Veet hair removal cream^ posted a “high single digit (revenue) growth" in India during the first half of the year^ the company’s top management said as RB announced its half-yearly and second quarter results on Tuesday.“It (India) did grow in high single digits (on a like-to-like basis) in this period. Dettol^ a power brand in India^ achieved the number one share in soaps in India for the first time^" Laxman Narasimhan^ Chief Executive Officer^ at the company said in a post earnings call with analysts on Tuesday.In India^ RB sells various products under Dettol such as surface disinfectants^ soaps^ antiseptic liquid^ hand sanitisers^ kitchen dish cleaning gels and body wash among others. Covid has helped accelerate frequency and adoption of cleaning products such as soaps and hand washes.At over ₹20^000 crore^ bar soaps remain the most dominant hygiene category in India.Hindustan Unilever Ltd. leads the market with Lifebuoy and Lux soaps followed by Wipro Consumer Care’s Santoor and Godrej Consumer Products’ Godrej No. 1 brands which are among the top sellers in the market. HUL and Wipro go by market researcher Kantar’s volume share data on soaps.Lifebuoy is among the country’s largest selling brand by volumes—driven by its mass-market positioning and reach in rural markets. RB’s Dettol^ on the other hand^ is priced at a premium.In the first half^ the Dettol brand grew strongly globally^ up 62% compared to the same period in 2019^ with growth in both developed and emerging markets^ led by covid-19 demand fuelling greater product penetration and frequency of use; Dettol became the number one soap brand in India^ the United Arab Emirates^ Saudi Arabia and Malaysia^ the company said in its earnings release.“It boils down certainly to the fact that there are tailwinds that you get from covid in India but it also boils down to some execution improvements we are seeing in both the health segments as well as the hygiene segments. What we are seeing there is a focus on distribution^ a focus on ensuring availability^ which hasn’t been easy^ given all the lockdowns in India at various places and at various points^" Narasimhan said.However^ gains made by RB could be short-term^ said an analyst speaking to Mint on the condition of anonymity.For the three months ended June 30^ the company reported a 10.5% jump in like-to-like sales as global demand for personal and home cleaning products—Lizol^ Dettol and Sagrotan—surged. India saw growth in May and June as lock-down eased^ although the outlook on emerging markets remains uncertain^ the company said.The company continues to drive penetration that will help drive category building^ especially in markets like India. “If you look at India^ we have seen increase in points of distribution and the overall India business grew in high-single digits in this time^" he said.Narasimhan said the company also actively focused on brand building. For instance^ its Dettol India hand-wash challenge launched in April^ on the now banned TikTok app^ received in excess of 120 billion views.Not just Dettol^ the company also saw demand for its home cleaning brands Lizol and Harpic go up.“So what we are doing there is not just a focus on financial results per say^ in the short term^ but also building the equity of the brand. And the Dettol brand equity is at one of its highest points. We are also heartened by the progress we are seeing on Lizol and Harpic in India and the continued scale up of that business^" he said.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share Via
2020-07-22,https://www.livemint.com//opinion/columns/fmcg-firms-await-recovery-in-the-hospitality-sector-11595435388122.html,LiveMint,Opinion | FMCG firms await recovery in the hospitality sector,The latest report on consumer behaviour by market researcher Nielsen explains how cooking at home is now almost embedded in Indian minds^ thanks to being cooped up indoors for months during the pandemic-induced lockdown. The discovery of the kitchen^ it said^ is driven by critical needs to be healthy^ safe and economical given the uncertainties around covid-19. Even though they find cooking time-consuming^ people have shed their inhibitions about rustling up meals as they look for quick^ authentic recipes online.The same report talks of a bearish consumer attitude towards expenditure on dining out and travel. Such a mindset^ which stems both from the fear of contracting the infection and job insecurity^ has dealt a body blow to the hotels^ restaurants and cafes (HoReCa) business of fast-moving consumer goods companies.Arvind Mediratta^ MD and CEO^ METRO Cash and Carry India^ said HoReCa was the first sector to shut its doors to customers^ even before the lockdown started. The wholesaler^ whose primary customers are kiranas and the hospitality sector^ admitted that its sales started declining in early March. Hotels and restaurants stopped entertaining customers as gatherings were restricted. Even caterers serving weddings and institutions lost business as schools^ colleges and offices shut down.Even though the Worldpanel division of market research firm Kantar tracks only household consumption^ its managing director K. Ramakrishnan said the complete closure of HoReCa will definitely affect FMCG firms as food comprises 70% of the total volume for the industry. “Atta is a big component for snacks and biscuits^ so is dairy. HoReCa is a subset of out-of-home consumption^ which is down too^" he said.Consequently^ companies in the food segment^ such as Hindustan Unilever Ltd (HUL)^ Adani Wilmar^ Nestle India Ltd^ ITC Ltd^ Gujarat Co-operative Milk Marketing Federation (GCMMF)^ the owner of dairy brand Amul^ and numerous other big and small firms that feed HoReCa^ saw their businesses contract. In its June-quarter earnings^ HUL said its ice-creams^ food solutions and vending businesses^ which are driven primarily by out-of-home consumption^ were massively impacted by the lockdown and closure of restaurants and eateries.HoReCa customers buy fresh and frozen fruits^ vegetables and meats^ groceries^ commodities^ processed foods^ confectionery ingredients and beverages^ among others^ from both MNCs as well as small^ local players. METRO^ which deals in many brands in these categories^ saw its business dip. “HoReCa is facing a dip of 60-70% on pre-covid levels^" said Mediratta^R.S. Sodhi^ managing director^ GCMMF^ which sells dairy products to the HoReCa segment as well^ said several cheese manufacturers in Maharashtra who supplied only to the hospitality sector^ especially restaurants and fast-food chains^ have been wiped out with their closure. Amul was better placed as only 10-12% of its total business comes from HoReCa^ he said.“This segment has not revived. It is a loss for us as well^ but it’s something we can bear because household consumption in many categories has grown really well^" he said. GCMMF saw 30-35% growth in household consumption of cheese during the lockdown. For Amul^ 12-15% of milk sales^ 20% of paneer sales and 70% of fresh cream sales comes from the hospitality sector. But Sodhi claims what Amul lost in HoReCa^ it gained in household consumption.METRO has been proactive in generating additional business by tying up with government and defence services and hospitals. It has also partnered with online food aggregators and logistics firms such as Swiggy^ Dineout and others supplying inventories to HoReCa.From his understanding of working closely with the sector^ Mediratta said it may take about six months for recovery and about one year to reach pre-covid levels of business. However^ those pivoting to cloud kitchens^ takeaways and home deliveries will recover faster. And that should be a big relief for FMCG firms too.Shuchi Bansal is Mint’s media^ marketing and advertising editor. Ordinary Post will look at pre-ssing issues related to all three. Or just fun stuff.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share Via
2020-07-21,https://www.livemint.com//companies/news/fmcg-firms-partner-with-businesses-to-sell-hygiene-kits-11595297398097.html,LiveMint,FMCG firms partner with businesses to sell hygiene kits,NEW DELHI : Packaged goods companies are stitching up large commercial deals offering hygiene products at scale to businesses as covid fears heighten their usage outside of homes.Last week^ Unilever partnered with hospitality chain Oyo to provide hygiene kits comprising its Lifebuoy^ Domex and other personal and home hygiene brand across its properties globally.Mumbai-based fast moving consumer goods company Godrej Consumer products Ltd. (GCPL) that sells the Protekt brand of hygiene products said it is in talks for B-to-B tie-ups and ITC has started providing Savlon branded products to its hotels and some airlines.While such B-to-B sales are a low margin business^ companies are expecting orders to go up as and when more businesses open up going forward.“Institutional business will be large segment as India opens up as offices^ malls and hotels open^ it will be a new segment which will become big^" Sunil Kataria^ CEO^ India and SAARC^ GCPL told reporters last week.The lockdown has impacted institutional business for several large companies—especially food companies—that provide bulk supplies to hotels and restaurants. But for companies selling sanitizers^ soaps and surface disinfectants^ large orders are likely to firm up as businesses resume^ spurring demand for more cleaning products.Last week^ GCPL expanded Protekt to over a dozen new products extending the sanitization and hand-wash brand to multipurpose disinfectant solutions^ air and surface disinfectant spray^ and anti-bacterial wipes^ among other such products.The company^ said a top executive at the firm^ is in talks for large tie-ups.“We have multiple contracts which our institutional teams keep doing. We are in talks with airlines as well as hotels. But apart from that—there are a few other chains in other sectors where we have got some kind of tie-up that has happened two weeks ago^" Kataria said without divulging details.“Institutional sales for us has not been a big focus area^ but now with this (covid)^ things could change^" he added.“At the same time^ I’d like to mention that institutional business is also a price sensitive business where^ while there is a brand play^ but there is also a very large competitive play."ITC has also provided Savlon sanitizers to some leading airlines^ a company spokeswoman told Mint.“As part of its WeAssure Programme^ ITC Hotels has partnered with Savlon to ensure protection from a wide range of viruses and bacteria. Savlon’s trusted knowhow and its range of products in germ protection have been integrated into the WeAssure initiative^" the company spokeswoman added.Subscribe to newsletters * Enter a valid email * Thank you for subscribing to our newsletter.Share Via
