Date,URL,Newspaper,Title,Article,Day,Month
2020-09-18,https://www.thehindubusinessline.com/news/sports/ipl-2020-new-pitch-different-rules-but-its-game-on-for-brands/article32643755.ece,The Hindu BusinessLine,IPL 2020: New pitch^ different rules but it’s game on for brands,After roller-coaster rounds of uncertainty and promise^ broadcasters^ brands^ businesses and even punters are all padded up for IPL 2020^ which kicks off in Abu Dhabi at 7.-30 pm IST on Saturday.Despite a new pitch and a different ball game due to Covid-19 protocols^ expectations are that the 13th edition will beat all viewership records. IPL 2019 was watched by a whopping 462 million viewers^ according to BARC data^ with official broadcaster Star Sports improving its reach by 12 per cent compared to 2018.This year^ Star^ which is beaming the tournament live in multiple languages and over 20 channels^ hopes to improve on that performance.On the revenue front^ too^ Star is on a song^ with five co-presenting sponsors including Dream11^ PhonePe^ Amazon^ Vodafone Idea and Byju's^ and 13 associate sponsors lined up.Higher ad ratesAccording to Star Sports^ nearly 95 per cent of the inventory has been sold. Media planning sources say the ad rates are fairly pricey at ₹12-12.5 lakh per 10 seconds. Over 60 advertisers are already on board and last-minute buys at higher premiums are being negotiated. E-commerce^ telecom^ FMCG^ fantasy sports^ edutech^ BFSI and auto are the key spenders on the T20 tournament.Star is also increasing the programming content around the IPL^ by packing in analysis and other shows.Meanwhile^ Disney Hotstar is upping the fan engagement with new features to its ‘Watch n Play’ feed. The live feed on the OTT platform will only be accessible to those who take an annual subscription package.Teams on edgeWhile Star sees a glittering IPL^ for franchisees things are a bit more challenging. The sponsorship payout to them from the BCCI will be lower as the rates have come down and there will be no gate collections. In previous IPLs^ teams like Mumbai Indians and CSK earned as much as ₹20 crore on ticket sales.However^ some teams — especially KKR^ CSK and MI — are on a strong wicket. According to sources^ KKR has sold all its sponsorship positions at high rates. Mumbai Indians and CSK^ too^ have signed pacts with a bevy of sponsors and official partners.This year^ most teams are paying more attention to merchandise sales and have entered into new associations for these. Many feel that the IPL could be a sentiment booster. Coinciding with the festival season^ a period that contributes nearly 40-45 per cent to annual ad spends by brands^ the advertising fraternity is hoping it will change the cycle.As Ashish Bhasin^ CEO^ APAC and Chairman^ India - Dentsu Aegis Network^ says: “IPL has the potential to kickstart the virtuous cycle where improvement in consumer sentiment could lead to an uptick in demand^ which can in turn improve ad spends.”(with inputs from G Balachandar in Chennai and Abhishek Law in Kolkata),18,09
2020-09-18,https://www.thehindubusinessline.com/companies/started-q2-on-positive-note-emami-chief-rs-agarwal/article32643343.ece,The Hindu BusinessLine,Started Q2 on positive note: Emami chief RS Agarwal,Homegrown FMCG company Emami Ltd has fast-tracked the launch of its hygiene range under Boroplus and other immunity boosting products under Zandu^ which includes AYUSH Kwath Powder and single herbs range.Considering the lockdowns and other disruptions in traditional distribution models^ Emami also launched many e-commerce-specific products in the immunity boosting category^ Chairman RS Agarwal said in his address to shareholders at the company’s 37th AGM. Discretionary items are also on a “recovery track”^ he said.“Our Health & Hygiene portfolio comprising a range of products under Zandu ^ BoroPlus & Menthoplus contributed 43 per ent to the domestic sales and grew by 29 per cent during the quarter. The discretionary & seasonal products viz. 7 Oils^ Kesh King^ Navratna etc are also on the recovery track after their set back in April due to the impact of the pandemic^” he said.Emami has “retained the growth momentum achieved in June” and has started off Q2 FY21 on a “very positive note”^ he added.According to Agarwal^ following the outbreak of Covid-19^ there has been a profound shift in consumer behaviour^ globally and in India. Demand for hygiene and immunity-boosting products are growing^ while online purchase is experiencing at an all-time high.“As the lockdowns and social distancing norms impacted the traditional channels of distribution^ especially in April and May^ the e-commerce channel doubled its revenues during the quarter in domestic business^” Agarwal added.Emami has also introduced the hygiene range for its international business^ which was well-received^ he further said.,18,09
2020-09-18,https://www.thehindubusinessline.com/news/hdfc-bank-retains-top-spot-in-indias-most-valuable-brand-rankings/article32642063.ece,The Hindu BusinessLine,BrandZ Top 75 rankings: HDFC Bank retains top spot in India’s most valuable brand rankings,"HDFC Bank was ranked as India’s top brand for the seventh consecutive year in a row in the 2020 BrandZ Top 75 Most Valuable Indian Brands rankings^ released by WPP and Kantar on Friday.LIC^ Tata Consultancy Services^ Airtel^ Asian Paints^ Kotak Mahindra Bank^ Jio^ Flipkart^ Paytm and State Bank of India were among the other brands ranked in the top 10 most valuable brand rankings.The challenging economic and social conditions created by the global pandemic and a pre-Covid-19 slowdown in the Indian economy adversely impacted the brand value of Indian companies. ""This year’s ranking was worth $216 billion in brand value^ a decline of 6 per cent over last year^ driven largely by a slowdown in the banking and automotive sector. Despite this^ 26 brands increased in value^ and five were new entrants. India’s top brands also performed well against other countries where declines in brand value were much greater^ "" the rankings report stated.Retail^ telecom and personal care brands were among the fastest-growing categories. While retail brands witnessed a growth of 33 per cent^ personal care grew by 32 per cent^ and telecom segment was up 25 per cent in terms of increase in brand values.At a time when the retail sector displayed agility to cater to the evolving needs of consumers amid the pandemic^ Reliance Retail witnessed a 102 per cent growth in brand value moving up 30 places to number 25 in the brand rankings. "" The brand’s core grocery offerings^ as well as its integrations with other Reliance Group partners^ have become agile assets for its parent company during the Covid-19 lockdown^"" the rankings study stated.Preeti Reddy^ the CEO - South Asia^ Insights Division^ Kantar^ said: ""The performance of retail^ telecom and FMCG brands has shown that being agile in times of crisis is critical for growth. Brands need to constantly innovate in order to survive and re-purpose themselves for the future^ or risk being left behind.""Brands such as Flipkart^ D-Mart and Nestle's Maggi also witnessed a significant increase in their brand values this year. Meanwhile^ Dove^ Indraprastha Gas^ Close Up^ and Crompton were among the brands that featured for the first time this year in the rankings.Reddy pointed out that with shrinking wallets due to the pandemic induced economic downturn^ brand salience and market differentiation have become among the key factors for brands to navigate the current challenges. "" Trusted brands weathered the crisis better. There has also been a rise in support of local Indian brands as the sentiment to support homegrown businesses has developed among Indian consumers^"" she added.",18,09
2020-09-14,https://www.thehindubusinessline.com/economy/agri-business/dabur-india-forays-in-the-edible-oil-segment/article32599680.ece,The Hindu BusinessLine,Dabur India forays in the edible oil segment,"Dabur India on Monday said it is foraying in the edible oils space with the launch of its cold-pressed mustard oil^ in a bid to strengthen its food business. The product is being exclusively launched on e-commerce platforms like Amazon and MilkBasket.The company has rolled out more than 40 products this year since the Covid-19 pandemic outbreak.Mohit Malhotra^ Chief Executive Officer^ Dabur India said^ ""Dabur is committed to introducing products that offer the best of nature for holistic health and well-being of every household. The launch of Dabur Cold Pressed Mustard Oil is another step forward in this direction and is part of our strategy to increase the width and depth of our food business in India.”The homegrown FMCG major said this launch was also in response to the government's push towards creating an Atmanirbhar Bharat.Dabur cold pressed mustard oil is priced at ₹220 for a 1-litre pack.Malhotra added that the product has been specially created to meet the growing consumer needs for healthier cooking oils.""There has been a massive rise in health awareness and management of lifestyle in India. Consumers are today becoming more conscious of what they eat and are increasingly focusing on healthier diets and consumption of healthier cooking oils^"" he added.",14,09
2020-09-13,https://www.thehindubusinessline.com/companies/marico-plans-to-inject-a-booster-dose-to-foods-biz/article32593755.ece,The Hindu BusinessLine,Marico plans to inject a booster dose to foods biz,Saugata Gupta expects to be working out of home from his Mumbai apartment till the end of September. It’s been like that since the pandemic started for the Managing Director and CEO of Marico Ltd. But now^ work days on video and phone calls are long^ stretching from 8.30 am to well past 9 pm as he strategises the launch of a clutch of new products^ oversees marketing plans^ and drives sales to new highs even as he worries over distribution.With Covid-19 still raging^ Gupta says consumption habits have now been reset into three broad categories: health and hygiene; the immunity plank for foods and^ third^ ready-to-cook foods or between-meal snacks. “Once things settle down^ demand may come down in many categories though that level may be higher than what it was pre-Covid. But I see a permanent reset on these three planks^” he says.The most ambitious plan that Marico has is in foods. Extending the Saffola franchise^ it recently launched honey^ which it claims is one of the purest in the maket. “There will be some more launches in the immunity space and in foods^ as also in the in-between meals category in the next couple of months. We have an ambitious plan for foods. We finished 2019–20 at Rs 200 crore in foods and we want to take it up to at least Rs 300 crore-plus by 2020-21. And^ the attempt is to hit the Rs 500-crore mark in the next two years^” says Gupta. Marico’s total revenues in FY 19-20 were Rs 6^161 crore.Of the three planks that Gupta outlines^ Marico does not yet have critical mass in health and hygiene and has now made its foray into the immunity space with honey. “Fortunately^ 80 to 90 per cent of our portfolio consists of items of daily consumption where we can grab market share. And there is also a huge opportunity to quickly get scale in others so that they become a significant part of our portfolio^” says Gupta of the immunity-giving foods the company plans to launch.Launches aplentyThe past few months have seen a flurry of launches from Marico^ in response to the pandemic effects. Mediker hand sanitiser and Veggie Clean are a couple of the new products in the market. Veggie Clean^ claimed to be an industry-first^ is a soap/chlorine/alcohol-free product that can be used to clean all kinds of vegetables and fruits and can remove any viruses on the produce.Marico also launched KeepSafe^ a range of premium out-of-home hygiene products that includes toilet seat disinfectant^ multi-purpose disinfectant spray^ hand sanitiser^ hygiene hand wipes^ feminine hygiene wipes and soon to be launched intimate wash as well. Along with this^ it also launched Marico’s Travel Protect and House Protect^ effective against viruses^ bacteria and fungi on multiple surfaces^ without the need to wipe them down after spraying.Gupta is emphatic that new products need to have a differentiated proposition^ For example^ Marico hasn’t entered the hand-wash segment in the domestic market. “There are so many existing brands there’s no point making a tactical entry. We need to have a more sustainable position^ so we are looking for differentiated spaces. It’s easy to get short-term volumes^ but I would rather spend my energies in getting into something where I have a long-term right to it^” explains Gupta. With at least 250 brands of sanitisers in the market now^ he says its current entry is merely a tactical move.Consumers^ he says^ are looking for trusted brands^ and top brands are likely to win^ “Consumers’ disposable incomes are down^ so leader brands should ensure there is downtrading within the brand itself rather than outside. If you are providing the right value at lower price points^ such as value packs at entry level^ there will be downtrading within the brand^” he explains.Distribution channelsApart from new products^ Gupta has also been deliberating with his team on distribution channels. Clearly^ during the pandemic^ it was proved that availability of a product on shelves equalled market share. “When the lockdown started we looked at several models to ensure reach to the distributor and end consumer.”It looked at third-party logistics to deliver to consumers as some distributors didn’t have the manpower to load and unload products. Or^ take orders without physically visiting stores; it started telecalling them. For the last mile to consumer^ it also experimented by using food delivery aggregators such as Swiggy^ Zomato as well as Dunzo. “Some are scalable^ some not^ we are dropping some of the prototypes and will be ready to scale up some of the other initiatives and we believe that what we will have is a differentiated new age supply chain and go-to-market strategy. Something that would have taken three to four years but because of Covid will be accelerated to a one-year time frame^” elaborates Gupta.Also^ he says^ the distributor role could change. It was the distributor who was doing everything^ from demand generation and market credit to stock delivering. But in metros the role of distributors could change to demand generation only and maybe market credit^ but fulfilment could be done by someone else. In the future^ a distributor in Mumbai and Delhi could be holding one day of stock cover^ says Gupta. “For companies that have direct distribution it will be a source of competitive advantage as share of wholesale channel goes down^” he adds.Consumer product companies need to up the ante in digital transformation^ says Gupta. Marico has been investing ahead of the curve in digital; pre-Covid^ e-comm was 5 per cent of sales. Marico recently launched a direct to consumer portal^ (stores.saffola.in) which makes it easier to place orders directly for products such as Saffola edible oil^ oats and masala oats and the Saffola Fittify gourmet range as well as its Mediker range. “We are on a journey of digital transformation; Covid has forced this pace; what could have happened in three years is now compressed to one year. Marketing^ e.comm^ analytics^ automation... everything has got to change. We expect e-commerce to contribute 8 per cent of sales this fiscal^” says Gupta. For the likes of Gupta^ who graduated from B-school in the early 1990s^ digital and social media have been a steep and quick learning.,13,09
2020-09-11,https://www.thehindubusinessline.com/economy/contraction-of-factory-output-narrows-in-july-ep/article32583410.ece,The Hindu BusinessLine,At -10.4% in July^ IIP contraction slows,Factory output contracted at slower pace in July 2020 at 10.4 per cent^ reflecting the output improvement from the unlocking of the economy from June.However^ the latest print was much worse than the 4.9 per cent IIP growth recorded in July 2019.The July 2020 Index of Industrial Production (IIP) contraction was slower than the contraction of revised 15.8 per cent in June 2020^ 33.8 per cent in May and record 57.6 per cent in April 2020.The latest IIP print is also in line with core sector output which showed signs of recovering as its contraction too slowed in July 2020 at 9.6 per cent^ compared to (-) 12.9 per cent in June 2020. The eight core sector industries together account for 40 per cent weightage of IIP.For July 2020^ manufacturing output contracted 11.1 per cent while mining contracted 13 per cent and electricity generation contracted 2.5 per cent^ official data released on Friday showed.On the use-based classification^ consumer non-durables was the only category posting a growth^ although the pace of its expansion halved in July 2020.Aditi Nayar^ Principal Economist^ ICRA^ said that the contraction of 10.4 per cent posted by the IIP in July 2020 trailed ICRA’s expectation of a 9.0 per cent de-growth on account of a modestly weaker than anticipated performance of all the three sectors — mining^ manufacturing and electricity.“Based on the sharp^ albeit base effect-led turnaround in the performance of the output of Coal India Limited^ the further narrowing de-growth in generation of GST e-way bills^ as well as the mild worsening in the contraction in electricity generation in August 2020^ we are hopeful that the pace of contraction of the IIP could ease to 6-8 per cent in August 2020^” she said.Madan Sabnavis^ Chief Economist^ CARE Ratings^ said that the IIP print for July was on expected lines. One can expect the August IIP to be in negative zone too before some turnaround in September^ he added.FMCG positive“IIP performance showed progress in July 2020 month-on-month. Only FMCG was positive^ driven by pharma mainly. The lockdown impact in July was less severe. One can expect numbers to be better next month though negative^” Sabnavis said.Sunil Kumar Sinha^ Principal Economist^ India Ratings^ said that the July 2020 IIP data^ as expected^ shows further recovery in the factory output. Though in terms of year-on-year growth factory output growth is still negative 10.4 per cent^ the negative growth is consistently declining since April 2020.“This kind of trend has been observed in many other high frequency data as well. However^ the data also shows that the sharp recovery witnessed in the month of May and June is now becoming somewhat flattish. Part of the reason is local/partial/weekend lockdown imposed in many parts of the country^ often without much advance intimation. This is not allowing orderly recovery of economic activities^” he said.,11,09
2020-09-11,https://www.thehindubusinessline.com/companies/juhi-chawla-to-endorse-emamis-hygiene-products/article32581246.ece,The Hindu BusinessLine,Juhi Chawla to endorse Emami’s hygiene products,Kolkata-based FMCG company Emami Ltdhas roped in actor Juhi Chawla as the brand ambassador for its newly launched hygiene range under the BoroPlus brand.While sanitisers under the Boroplus brand were launched in April this year^ the company introduced toilet soaps (BoroPlus Antiseptic + Moisturising Soap) in June. The range is now set to hit the retail market with hand washes (BoroPlus Antiseptic + Moisturising Handwash)^ it said in a press release.According to Priti A Sureka^ Director^ Emami Ltd^ BoroPlus as an antiseptic cream is a staple across households^ and its extension into the personal hygiene segment was a part of the innovation plan regarding the brand. The company has brought forward its launches in the hygiene segment.“BoroPlus Hygiene Range is all set to offer the consumers a complete range of personal hygiene to fight the attack of Covid-19. For our hygiene range^ we are happy to associate with Juhi Chawla^” she said.A TVC directed by Narayan Shi featuring the actor will be on air across channels and platforms mid-September onwards. The brand commercial narrates the story of every other family today whose hygiene habits have undergone significant change with the onset of the pandemic^ the company said in a release.BoroPlus Hygiene Range will be available across pharmacy and general retail stores^ modern trade outlets and e- commerce platforms.,11,09
2020-09-10,https://www.thehindubusinessline.com/economy/nearly-two-thirds-of-firms-rated-by-us-will-qualify-crisil/article32573921.ece,The Hindu BusinessLine,One-time loan restructuring: 'Two of three 8^500 Crisil-rated companies will qualify',Credit rating agency Crisil on Thursday said nearly two-thirds among more than 8^500 companies rated by it would be eligible for one-time debt restructuring based on the financial parameters under the ‘Resolution Framework for Covid-19-related Stress’.The RBI recently specified five key financial parameters that lenders have to take into account for finalising resolution plans for eligible borrowers in 26 sectors..These parameters^ which relate to leverage^ liquidity and debt serviceability^ were recommended by the expert committee headed by former ICICI Bank chief KV Kamath.Subodh Rai^ Senior Director^ Crisil Ratings^ said:“Three out of four investment-grade companies (rated ‘BBB-’ or higher) and one out of two in the ‘BB’ rating category qualify for restructuring. “However^ in the ‘B’ category^ only one in three qualify because companies here tend to have relatively weak debt protection metrics.” At an aggregate Crisil portfolio level^ two out of three companies were found eligible for restructuring^ he added.While the qualification parameters have been defined by the committee^ the agency said lenders are also expected to use their discretion when assessing each restructuring proposal. The study said restructuring will also be available to a large number of companies that opted for the moratorium. Every second company in Crisil’s portfolio that did so will qualify for restructuring.Three out of four entities in the portfolio that availed of moratorium are rated in the sub-investment grade (rated ‘BB+’ or lower).Resilient vs less resilientWhile the parameters support debt restructuring across rating categories^ Crisil’s study indicated that companies in the resilient sectors stand to benefit more.Sectoral resilience is the ability of a sector to sustain the revenue impact of Covid-19 and bounce back to full production after the pandemic peters out.The agency assessed that three out of four rated ones in the resilient sectors such as construction^ chemicals^ pharmaceuticals^ iron and steel manufacturing^ corporate retail^ and consumer durables/FMCG (fast moving consumer goods) will qualify for restructuring.In the less-resilient sectors such as auto dealerships^ gems and jewellery^ hotels^ restaurants and tourism^ power generation^ and real estate^ the study said opportunities for debt restructuring could be a little lower as these sectors can take longer to recover. Here^ only one in three companies could be eligible for restructuring.Rahul Guha^ Director^ Crisil Ratings^ said: “The situation is still evolving and the actual number of eligible companies could increase in case of favourable developments such as faster-than-expected turnaround of the economy^ banks choosing to convert interest charges to funded interest term loan or exploring other innovative ways of restructuring or promoters bringing in capital. A final picture on how many companies have qualified for restructuring will emerge only over the next 3-4 months.”,10,09
2020-09-07,https://www.thehindubusinessline.com/money-and-banking/rejig-of-covid-hit-loans-rbi-sets-5-key-norms-for-lenders-based-on-kamath-panel-recommendations/article32546284.ece,The Hindu BusinessLine,Rejig of Covid-hit loans: RBI sets 5 key norms for lenders based on Kamath panel recommendations,The Reserve Bank of India has specified five key financial parameters that lenders must consider before finalising resolution plans (RP) for eligible borrowers in 26 sectors^ ranging from auto to trading^ to mitigate the impact of Covid-related stress.The financial parameters relating to leverage^ liquidity and debt serviceability are based on the recommendations of the Expert Committee^ headed by former ICICI Bank chief KV Kamath^ on a ‘Resolution Framework for Covid-related stress’.In August^ the RBI had permitted one-time restructuring of corporate advances and personal loans amid concerns of a spike in bank NPAs due to the Covid-19 pandemic.Besides auto and trading^ the major sectors for which the parameters (ceilings or floors^ as the case may be) have been prescribed include aviation^ construction^ consumer durables/FMCG^ corporate retail outlets^ gems and jewellery^ hotel^ restaurants^ tourism^ power^ and real estate.The five financial parameters are: Total Outside Liabilities (TOL)/Adjusted Tangible Net Worth (ATNW); Total Debt/EBITDA; Current Ratio; Debt Service Coverage Ratio (DSCR); and Average DSCR.Under the RBI’s framework^ only borrowers classified as standard and with arrears of less than 30 days as on March 1^ 2020 are eligible for resolution.Other sectorsWhere sector-specific thresholds have not been specified^ lending institutions shall make their own internal assessments regarding TOL/ATNW; and Total Debt/EBITDA.However^ the current ratio and the DSCR in all cases shall be 1.0 and above^ and ADSCR shall be 1.2 and above.The central bank said lending institutions are free to consider other financial parameters as well while finalising the resolution plan apart from the mandatory five key ratios and the sector-specific thresholds prescribed.Graded approachGiven the varying impact of the pandemic on sectors/entities^ the RBI said the lending institutions may^ at their discretion^ adopt a graded approach depending on the severity of the impact on the borrowers^ while preparing or implementing the resolution plan. Such an approach may also entail classification of the impact on the borrowers into mild^ moderate or severe^ as recommended by the Committee.India Ratings has estimated that around 7.7 per cent (₹8.4-lakh crore) of the total bank credit as at end-March 2020 from corporate and non-corporate segments could get restructured under the Covid resolution framework.,07,09
2020-09-03,https://www.thehindubusinessline.com/companies/demand-dynamics-have-undergone-sea-change-since-covid-19-outbreak-dabur-india-chairman/article32515428.ece,The Hindu BusinessLine,Demand dynamics have undergone sea-change since Covid-19 outbreak: Dabur India Chairman,Leveraging on the tailwinds due to strong momentum in the healthcare and immunity building product segments^ Dabur India on Thursday said that it will build its business further through innovation^ distribution enhancement and higher visibility especially of its nine power brands^ as the country continues to grapple with the pandemic.The power brands include Dabur Chyawanprash^ Vatika^ Real fruit juice^ Dabur Honey^ Dabur Lal Tail besides Honitus^ Pudin Hara^ Red Paste and Amla Hair Oil.Speaking at the company’s 45th Annual General Meeting^ Amit Burman^ Chairman^ Dabur India said that while the company was poised to report strong revenue and profitability growth for FY 2019-20^ “before Covid struck in March and wiped out all the gains made in the first 11 months of the year.”It is heartening that Dabur continued to gain market share across all key categories like shampoos^ toothpaste^ hair oils^ Chyawanprash and packaged juices and nectars^ during the year^” Burman added. The company’s international business grew by 4.9 per cent during FY2019-20.Stating that the “demand dynamics have undergone a sea change” since the Covid-19 outbreak^ as consumers are increasingly seeking products to boost immunity and personal and household hygiene needs^ Burman said that the company’s management displayed “nimble-footedness and agility” to respond to the changing dynamics and meet the emerging needs of the consumers.The FMCG major has launched over 50 new products and variants within weeks of the Covid-19 outbreak. “The fact that a majority of which were launched during and after the lockdown period reflecting a strong and committed effort to mitigate the immediate crisis and emerge from it stronger and future ready^” he added.It had also forayed into the personal and household hygiene segments with brand Dabur Sanitize.“The pandemic has also led to a shift in shopping behaviour of consumers with the propensity for online shopping increasing. Targeting this emerging trend^ we have started launching a series of new products exclusively for online markets^” Burman said. The company recently launched products such as Dabur Apple Cider Vinegar and the Dabur Baby Care range exclusively online.“The challenges of Covid are far from over and the road ahead is full of challenges^ but it is equally exciting and promising. As we go forward^ our management team will continue to identify growth opportunities^ and also invest in protecting people and the planet. In our International Business^ we will continue to leverage our global presence^ natural heritage^ consumer-relevant innovations and unmatched product portfolio to generate strong profitable growth^” Burman added.,03,09
